lat prs camp flt x yday
-65 350 24 6 0.2329414 126
-55 350 24 6 0.3728474 126
-45 350 24 6 0.3123485 126
-65 450 24 6 0.2363331 126
-55 450 24 6 0.3500693 126
-45 450 24 6 0.1697366 126
-65 550 24 6 0.2255025 126
-55 550 24 6 0.3351484 126
-45 550 24 6 0.1958579 126
-65 650 24 6 0.145302 126
-55 650 24 6 0.2259004 126
-45 650 24 6 0.2240676 126
-65 750 24 6 0.1819584 126
-55 750 24 6 0.1809066 126
-45 750 24 6 0.174452 126
-65 850 24 6 0.1531881 126
-55 850 24 6 0.2132873 126
-45 850 24 6 0.125828 126
-65 950 24 6 0.1319934 126
-55 950 24 6 0.1422922 126
-45 950 24 6 -0.3713667 126
-55 350 21 7 0.6533471 227
-45 350 21 7 0.5028785 227
-35 350 21 7 0.3539878 227
-25 350 21 7 0.3130738 227
-15 350 21 7 0.3246777 227.6884
-5 350 21 7 0.5587433 228
-55 450 21 7 0.8249985 227
-45 450 21 7 0.5373999 227
-35 450 21 7 0.307062 227
-25 450 21 7 0.2617879 227
-15 450 21 7 0.2061086 227.8961
-5 450 21 7 -0.03391528 228
-55 550 21 7 0.5759838 227
-45 550 21 7 0.4652805 227
-35 550 21 7 0.2501008 227
-25 550 21 7 0.1604644 227
-15 550 21 7 0.1566291 228
-5 550 21 7 0.6519909 228
-55 650 21 7 0.6092532 227
-45 650 21 7 0.5308897 227
-35 650 21 7 0.002799618 227
-25 650 21 7 0.07350345 227
-15 650 21 7 0.09350556 228
-5 650 21 7 0.40672 228
-55 750 21 7 0.4910067 227
-45 750 21 7 0.4696809 227
-35 750 21 7 -0.06301232 227
-25 750 21 7 0.05424688 227
-15 750 21 7 0.09221278 228
-55 850 21 7 0.4910071 227
-45 850 21 7 0.5064957 227
-35 850 21 7 -0.04404167 227
-25 850 21 7 0.1747122 227
-15 850 21 7 0.0159 228
-55 950 21 7 0.529035 227
-45 950 21 7 0.4205419 227
-35 950 21 7 -0.05850298 227
-25 950 21 7 0.09786514 227
-15 950 21 7 0.1193015 228
-55 350 22 7 0.1819556 43
-45 350 22 7 0.04908378 43
-35 350 22 7 -0.1766092 43
-25 350 22 7 -0.2099004 43.64286
-15 350 22 7 -0.7232025 44
-5 350 22 7 0.1021229 44
-55 450 22 7 0.1825687 43
-45 450 22 7 0.04126357 43
-35 450 22 7 -0.2222344 43
-25 450 22 7 -0.07621875 44
-15 450 22 7 -0.3097638 44
-5 450 22 7 0.3415515 44
-55 550 22 7 0.2015878 43
-45 550 22 7 0.06691071 43
