lat prs camp flt x yday
-45 450 23 5 311.0006 281
-35 450 23 5 316.9155 281
-25 450 23 5 323.7213 281
-15 450 23 5 327.2913 281
-55 550 23 5 306.1518 281
-45 550 23 5 306.3525 281
-35 550 23 5 309.5476 281
-25 550 23 5 317.3918 281
-15 550 23 5 324.0054 281
-55 650 23 5 303.224 281
-45 650 23 5 301.8181 281
-35 650 23 5 301.1887 281
-25 650 23 5 313.3892 281
-15 650 23 5 319.6023 281
-55 750 23 5 299.7622 281
-45 750 23 5 298.0259 281
-35 750 23 5 296.4369 281
-25 750 23 5 306.5195 281
-15 750 23 5 309.7256 281
-55 850 23 5 293.3227 281
-45 850 23 5 291.3966 281
-35 850 23 5 292.4569 281
-25 850 23 5 299.3061 281
-15 850 23 5 301.9952 281
-55 950 23 5 281.3895 281
-45 950 23 5 284.2694 281
-35 950 23 5 287.5802 281
-25 950 23 5 294.0364 281
-15 950 23 5 300.0612 281
-45 350 24 5 316.0912 123
-35 350 24 5 322.632 123
-25 350 24 5 328.9091 123
-15 350 24 5 328.9377 123
-45 450 24 5 312.3624 123
-35 450 24 5 316.8326 123
-25 450 24 5 322.5489 123
-15 450 24 5 327.5779 123
-45 550 24 5 308.0821 123
-35 550 24 5 311.7866 123
-25 550 24 5 317.6795 123
-15 550 24 5 323.8519 123
-45 650 24 5 303.7301 123
-35 650 24 5 307.0239 123
-25 650 24 5 312.1206 123
-15 650 24 5 318.3364 123
-45 750 24 5 299.7792 123
-35 750 24 5 302.6199 123
-25 750 24 5 303.0711 123
-15 750 24 5 310.8317 123
-45 850 24 5 294.6863 123
-35 850 24 5 294.1307 123
-25 850 24 5 297.0484 123
-15 850 24 5 299.6072 123
-45 950 24 5 285.7103 123
-35 950 24 5 289.0221 123
-25 950 24 5 294.4542 123
-15 950 24 5 297.7153 123
-65 350 21 6 297.2639 225
-55 350 21 6 305.4335 225
-45 350 21 6 305.9682 225
-65 450 21 6 294.3461 225
-55 450 21 6 298.796 225
-45 450 21 6 302.9153 225
-65 550 21 6 291.0076 225
-55 550 21 6 294.9546 225
-45 550 21 6 299.8432 225
-65 650 21 6 288.2514 225
-55 650 21 6 290.3233 225
-45 650 21 6 294.8272 225
-65 750 21 6 283.9121 225
-55 750 21 6 286.2871 225
-45 750 21 6 290.4489 225
-65 850 21 6 278.1859 225
-55 850 21 6 278.904 225
-45 850 21 6 286.1763 225
-65 950 21 6 271.0382 225
-55 950 21 6 275.7468 225
-45 950 21 6 280.4995 225
-65 350 22 6 304.1085 41
-55 350 22 6 316.3402 41
-45 350 22 6 323.2146 41
-65 450 22 6 296.7451 41
-55 450 22 6 305.2042 41
-45 450 22 6 318.2747 41
-65 550 22 6 292.9655 41
-55 550 22 6 300.6936 41
-45 550 22 6 313.5751 41
-65 650 22 6 289.9378 41
-55 650 22 6 296.2555 41
-45 650 22 6 307.1865 41
-65 750 22 6 286.0785 41
-55 750 22 6 292.2328 41
-65 850 22 6 281.8162 41
-55 850 22 6 286.3484 41
-65 950 22 6 277.5832 41
-55 950 22 6 282.9846 41
-65 350 23 6 305.6304 284
-55 350 23 6 308.3811 284
-45 350 23 6 315.1527 284
-65 450 23 6 299.1574 284
-55 450 23 6 303.9601 284
-45 450 23 6 308.7175 284
-65 550 23 6 294.0434 284
-55 550 23 6 298.179 284
-45 550 23 6 301.5062 284
-65 650 23 6 289.2517 284
-55 650 23 6 296.9804 284
-45 650 23 6 297.658 284
-65 750 23 6 282.914 284
-55 750 23 6 292.6422 284
-45 750 23 6 292.7738 284
-65 850 23 6 277.2142 284
-55 850 23 6 286.5128 284
