date co2 co2fill trend iav seasonal remainder total
NOV2016 403.74 403.74 404.952 0.264 -1.814 0.337 403.403
DEC2016 404.9 404.9 405.16 0.253 -0.666 0.154 404.746
JAN2017 405.79 405.79 405.368 0.242 0.185 -0.005 405.795
FEB2017 406.51 406.51 405.575 0.222 0.751 -0.039 406.549
MAR2017 407.57 407.57 405.783 0.203 1.663 -0.079 407.649
APR2017 409.22 409.22 405.991 0.184 3.185 -0.14 409.36
MAY2017 410 410 406.199 0.157 3.657 -0.013 410.013
JUN2017 408.94 408.94 406.406 0.131 2.341 0.063 408.877
JUL2017 407.18 407.18 406.614 0.104 0.333 0.129 407.051
AUG2017 405.09 405.09 406.822 0.069 -2.101 0.301 404.789
SEP2017 403.33 403.33 407.029 0.034 -3.928 0.195 403.135
OCT2017 403.66 403.66 407.237 -0.001 -3.45 -0.125 403.785
NOV2017 405.45 405.45 407.445 -0.029 -1.752 -0.214 405.664
DEC2017 406.9 406.9 407.652 -0.057 -0.644 -0.051 406.951
JAN2018 408.1 408.1 407.86 -0.084 0.302 0.023 408.077
FEB2018 408.83 408.83 408.068 -0.098 0.927 -0.067 408.897
MAR2018 409.57 409.57 408.275 -0.112 1.463 -0.056 409.626
APR2018 411.03 411.03 408.483 -0.126 2.708 -0.036 411.066
MAY2018 411.71 411.71 408.69 -0.119 3.456 -0.318 412.028
JUN2018 410.72 410.72 408.898 -0.112 2.331 -0.398 411.118
JUL2018 409.28 409.28 409.106 -0.105 0.327 -0.048 409.328
AUG2018 407.29 407.29 409.313 -0.08 -1.95 0.007 407.283
SEP2018 405.71 405.71 409.521 -0.056 -3.625 -0.13 405.84
OCT2018 406.33 406.33 409.724 -0.032 -3.417 0.055 406.275
NOV2018 408.23 408.23 409.928 -0.004 -1.914 0.22 408.01
DEC2018 409.46 409.46 410.131 0.024 -0.697 0.002 409.458
JAN2019 410.77 410.77 410.334 0.052 0.391 -0.007 410.777
FEB2019 411.84 411.84 410.538 0.075 0.983 0.245 411.595
MAR2019 412.24 412.24 410.741 0.097 1.357 0.045 412.195
APR2019 413.46 413.46 410.945 0.119 2.506 -0.109 413.569
MAY2019 414.98 414.98 411.148 0.125 3.475 0.232 414.748
JUN2019 414.3 414.3 411.351 0.131 2.573 0.245 414.055
JUL2019 411.92 411.92 411.555 0.137 0.303 -0.075 411.995
AUG2019 409.75 409.75 411.758 0.135 -2.007 -0.136 409.886
SEP2019 408.74 408.74 411.961 0.134 -3.383 0.028 408.712
OCT2019 408.93 408.93 412.165 0.132 -3.332 -0.035 408.965
NOV2019 410.29 410.29 412.369 0.135 -2.122 -0.093 410.383
DEC2019 411.99 411.99 412.573 0.139 -0.81 0.088 411.902
JAN2020 413.37 413.37 412.778 0.142 0.348 0.103 413.267
FEB2020 413.85 413.85 412.982 0.142 0.895 -0.169 414.019
MAR2020 414.56 414.56 413.186 0.143 1.439 -0.209 414.769
APR2020 416.03 416.03 413.391 0.144 2.668 -0.172 416.202
MAY2020 417.2 417.2 413.595 0.142 3.436 0.028 417.172
JUN2020 416.79 416.79 413.799 0.14 2.634 0.217 416.573
JUL2020 414.59 414.59 414.003 0.138 0.331 0.118 414.472
AUG2020 412.49 412.49 414.208 0.134 -2.064 0.212 412.278
SEP2020 411.51 411.51 414.412 0.131 -3.302 0.27 411.24
OCT2020 411.52 411.52 414.616 0.127 -3.272 0.048 411.472
NOV2020 412.55 412.55 414.821 0.11 -2.299 -0.082 412.632
DEC2020 414.1 414.1 415.028 0.092 -0.829 -0.191 414.291
JAN2021 415.51 415.51 415.236 0.075 0.46 -0.261 415.771
FEB2021 416.35 416.35 415.443 0.047 0.971 -0.111 416.461
MAR2021 417.51 417.51 415.651 0.019 1.509 0.331 417.179
APR2021 419.1 419.1 415.858 -0.008 2.689 0.561 418.539
MAY2021 419.22 419.22 416.066 -0.028 3.207 -0.025 419.245
JUN2021 418.41 418.41 416.274 -0.047 2.466 -0.282 418.692
JUL2021 416.73 416.73 416.481 -0.067 0.38 -0.064 416.794
AUG2021 414.35 414.35 416.689 -0.093 -2.008 -0.238 414.588
SEP2021 413.18 413.18 416.896 -0.118 -3.364 -0.234 413.414
OCT2021 413.76 413.76 417.104 -0.144 -3.296 0.097 413.663
NOV2021 414.92 414.92 417.311 -0.177 -2.158 -0.057 414.977
DEC2021 416.7 416.7 417.519 -0.21 -0.629 0.02 416.68
JAN2022 418.38 418.38 417.726 -0.243 0.428 0.469 417.911
FEB2022 419.08 419.08 417.934 -0.267 0.855 0.558 418.522
MAR2022 419.17 419.17 418.142 -0.291 1.353 -0.033 419.203
APR2022 420.1 420.1 418.349 -0.315 2.588 -0.522 420.622
MAY2022 421.21 421.21 418.557 -0.349 3.283 -0.28 421.49
JUN2022 420.89 420.89 418.764 -0.383 2.449 0.059 420.831
JUL2022 418.96 418.96 418.972 -0.416 0.33 0.075 418.885
AUG2022 416.92 416.92 419.179 -0.44 -1.901 0.082 416.838
SEP2022 415.56 415.56 419.387 -0.464 -3.268 -0.094 415.654
OCT2022 415.57 415.57 419.594 -0.488 -3.338 -0.198 415.768
NOV2022 417.44 417.44 419.802 -0.482 -2.104 0.224 417.216
DEC2022 419.23 419.23 420.009 -0.476 -0.55 0.247 418.983
JAN2023 419.66 419.66 420.217 -0.469 0.298 -0.386 420.046
FEB2023 419.94 419.94 420.425 -0.448 0.825 -0.862 420.802
MAR2023 421.06 421.06 420.632 -0.426 1.385 -0.531 421.591
APR2023 423.07 423.07 420.84 -0.405 2.373 0.262 422.808
MAY2023 424.41 424.41 421.047 -0.364 3.149 0.578 423.832
JUN2023 423.48 423.48 421.255 -0.323 2.596 -0.047 423.527
JUL2023 421.33 421.33 421.462 -0.283 0.46 -0.31 421.64
AUG2023 419.69 419.69 421.67 -0.221 -1.905 0.146 419.544
SEP2023 418.84 418.84 421.877 -0.16 -3.174 0.296 418.544
OCT2023 418.73 418.73 422.085 -0.098 -3.185 -0.072 418.802
NOV2023 419.86 419.86 422.292 -0.025 -2.06 -0.347 420.207
DEC2023 421.61 421.61 422.5 0.048 -0.625 -0.312 421.922
JAN2024 422.91 422.91 422.708 0.121 0.236 -0.155 423.065
FEB2024 424.21 424.21 422.915 0.2 0.785 0.31 423.9
MAR2024 425.17 425.17 423.123 0.279 1.374 0.393 424.777
APR2024 425.63 425.63 423.331 0.359 2.316 -0.376 426.006
MAY2024 426.51 426.51 423.54 0.439 3.116 -0.585 427.095
JUN2024 427.06 427.06 423.748 0.519 2.627 0.167 426.893
JUL2024 425.37 425.37 423.956 0.599 0.486 0.329 425.041
AUG2024 422.72 422.72 424.164 0.681 -1.907 -0.219 422.939
SEP2024 421.88 421.88 424.372 0.763 -3.145 -0.111 421.991
OCT2024 422.57 422.57 424.581 0.846 -3.144 0.288 422.282
NOV2024 423.81 423.81 424.789 0.93 -2.055 0.146 423.664
DEC2024 425.28 425.28 424.997 1.014 -0.65 -0.08 425.36
