lat prs camp flt x yday
15 450 23 4 -3.219043 278
-15 550 23 4 -2.505837 279
-5 550 23 4 -2.734884 279
5 550 23 4 -2.899268 278.4717
15 550 23 4 -3.34735 278
-15 650 23 4 -2.599978 279
-5 650 23 4 -2.701766 279
5 650 23 4 -2.953415 278.5319
15 650 23 4 -3.43789 278
-15 750 23 4 -2.734329 279
-5 750 23 4 -2.790195 279
5 750 23 4 -3.049236 278.475
15 750 23 4 -3.671101 278
-15 850 23 4 -2.860001 279
-5 850 23 4 -2.944587 279
5 850 23 4 -3.120283 278.5
15 850 23 4 -3.810009 278
-15 950 23 4 -2.894067 279
-5 950 23 4 -3.167864 279
5 950 23 4 -3.165391 278.4301
15 950 23 4 -3.846601 278
-15 350 24 4 -1.235259 121
-5 350 24 4 -1.587306 121
5 350 24 4 -0.7481983 120
15 350 24 4 1.22934 120
-15 450 24 4 -1.64133 121
-5 450 24 4 -1.595228 120.9259
5 450 24 4 -0.9847212 120
15 450 24 4 0.9098639 120
-15 550 24 4 -1.762799 121
-5 550 24 4 -1.53055 120.7049
5 550 24 4 -0.6750205 120
15 550 24 4 0.2721473 120
-15 650 24 4 -1.86476 121
-5 650 24 4 -1.388467 120.7037
5 650 24 4 -0.8022631 120
15 650 24 4 0.4854452 120
-15 750 24 4 -2.003926 121
-5 750 24 4 -1.329457 120.7059
5 750 24 4 -0.6493053 120
15 750 24 4 0.8229444 120
-15 850 24 4 -2.373476 121
-5 850 24 4 -1.201644 120.7073
5 850 24 4 -0.5069063 120
15 850 24 4 1.709918 120
-15 950 24 4 -2.596924 121
-5 950 24 4 -0.9668483 120.3785
5 950 24 4 -0.437057 120
15 950 24 4 3.251584 120
-45 350 21 5 -2.277836 220.5319
-35 350 21 5 -1.826719 220
-15 350 21 5 -0.8991812 220
-45 450 21 5 -2.168085 220.75
-35 450 21 5 -2.23784 220
-15 450 21 5 -1.045785 220
-45 550 21 5 -2.228902 220.7818
-35 550 21 5 -2.437482 220
-15 550 21 5 -1.162921 220
-45 650 21 5 -2.37074 220.9035
-35 650 21 5 -2.534826 220
-25 650 21 5 -1.297528 220
-15 650 21 5 -1.301618 220
-45 750 21 5 -2.456388 221
-35 750 21 5 -2.689991 220
-25 750 21 5 -1.36563 220
-15 750 21 5 -1.411668 220
-45 850 21 5 -2.842512 221
-35 850 21 5 -2.738511 220
-25 850 21 5 -1.410144 220
-15 850 21 5 -1.484269 220
-45 950 21 5 -2.877359 221
-35 950 21 5 -2.773409 220
-25 950 21 5 -1.560896 220
-15 950 21 5 -1.650366 220
-55 350 22 5 -3.50115 36
-45 350 22 5 -2.934634 35.86585
-35 350 22 5 -3.256971 35
-25 350 22 5 -2.71807 35
-15 350 22 5 -2.089227 35
-55 450 22 5 -3.728649 36
-45 450 22 5 -2.749509 36
-35 450 22 5 -3.541783 35
-25 450 22 5 -2.85132 35
-15 450 22 5 -2.046788 35
-55 550 22 5 -4.009023 36
-45 550 22 5 -2.719738 36
-35 550 22 5 -3.476324 35
-25 550 22 5 -2.590898 35
-15 550 22 5 -1.982393 35
-55 650 22 5 -4.729251 36
-45 650 22 5 -2.661655 36
-35 650 22 5 -3.184533 35
-25 650 22 5 -2.250534 35
-15 650 22 5 -1.888503 35
-55 750 22 5 -4.937503 36
-45 750 22 5 -3.153819 36
-35 750 22 5 -3.108876 35
-25 750 22 5 -2.084336 35
